The Mary Sue 	Left 	Mixed 	United States 	Medium Credibility 		Medium Traffic 	83
Young Americans for Liberty 	Questionable Sources 	Low 	United States 	Low Credibility 	Organization/Foundation 	Minimal Traffic 	
Yankee Institute for Public Policy 	Right-Center 	High 	United States 	High Credibility 	Organization/Foundation 	Minimal Traffic 	36
Yavapai News 	Questionable Sources 	Mixed 	United States 	Low Credibility 	Website Only 	Minimal Traffic 	4
YourContent 	Questionable Sources 	Mixed 	United States 	Low Credibility 	Website Only 	Minimal Traffic 	28
York Daily Record 	Left-Center 	High 	United States 	High Credibility 	Newspaper 	Medium Traffic 	74
Yellow Hammer News 	Right 	High 	United States 	High Credibility 	Website Only 	Minimal Traffic 	55
Yellowhammer Times 	Questionable Sources 	Mixed 	United States 	Low Credibility 	Website Only 	Minimal Traffic 	6
Yes Magazine 	Left 	High 	United States 	High Credibility 	Magazine 	Medium Traffic 	78
YLE News 	Least Biased 	Mostly Factual 	Finland 	High Credibility 	TV Station 	High Traffic 	
YnetNews 	Left-Center 	High 	Israel 	High Credibility 	Website Only 	Medium Traffic 	84
The Yomiuri Shimbun 	Right-Center 	High 	Japan 	High Credibility 	Newspaper 	High Traffic 	66
York Dispatch 	Left-Center 	High 	United States 	High Credibility 	Newspaper 	Medium Traffic 	66
York News-Times 	Least Biased 	High 	United States 	High Credibility 	Newspaper 	Minimal Traffic 	
Aurora Banner 	Left-Center 	High 	Canada 	High Credibility 	Newspaper 	Minimal Traffic 	
Georgina Advocate 	Left-Center 	High 	United States 	High Credibility 	Newspaper 	Minimal Traffic 	
Markham Economist & Sun 	Left-Center 	High 	Canada 	High Credibility 	Newspaper 	Minimal Traffic 	
Newmarket Era 	Left-Center 	High 	Canada 	High Credibility 	Newspaper 	Minimal Traffic 	
Al Youm Al Sabea 	Questionable Sources 	Mixed 	Egypt 	Low Credibility 	Newspaper 	High Traffic 	
KGPE - Fresno News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
KSEE - Fresno News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
YourNews 	Questionable Sources 	Mixed 	United States 	Low Credibility 	Website Only 	Medium Traffic 	
NewsNet (YourNewsNet.com) 	Least Biased 	High 	United States 	High Credibility 		No Data 	30
East County Observer 	Least Biased 	High 	United States 	High Credibility 	Newspaper 	Minimal Traffic 	
Longboat Observer 	Least Biased 	High 	United States 	High Credibility 	Newspaper 	Minimal Traffic 	
Sarasota Observer 	Least Biased 	High 	United States 	High Credibility 	Newspaper 	Minimal Traffic 	
Port Charlotte Sun 	Least Biased 	High 	United States 	High Credibility 	Newspaper 	Medium Traffic 	
Englewood Sun 	Least Biased 	High 	United States 	High Credibility 	Newspaper 	Minimal Traffic 	
North Port Sun 	Least Biased 	High 	United States 	High Credibility 	Newspaper 	Minimal Traffic 	
Punta Gorda Sun 	Least Biased 	High 	United States 	High Credibility 	Newspaper 	Minimal Traffic 	
Venice Gondolier Sun 	Least Biased 	High 	United States 	High Credibility 	Newspaper 	Minimal Traffic 	
National Youth Right Association 	Left-Center 	High 	United States 	High Credibility 	Organization/Foundation 	Minimal Traffic 	51
Youth Radio 	Left-Center 	High 	United States 	High Credibility 	Organization/Foundation 	Minimal Traffic 	54
Yuba-Sutter Times 	Questionable Sources 	Mixed 	United States 	Low Credibility 	Website Only 	Minimal Traffic 	0
Z3 News 	Questionable Sources 	Very Low 	United States 	Low Credibility 	Website Only 	Minimal Traffic 	
The ZDF (Zweites Deutsches Fernsehen) 	Least Biased 	High 	Germany 	High Credibility 	TV Station 	High Traffic 	95
ZDNet 	Least Biased 	High 	United States 	High Credibility 	Website Only 	High Traffic 	83
Zebra Fact Check 	Right-Center 	High 	United States 	High Credibility 	Website Only 	Minimal Traffic 	23
Die Zeit 	Left-Center 	High 	Germany 	High Credibility 	Newspaper 	High Traffic 	93
Zerohedge 	Conspiracy-Pseudoscience 	Low 	Bulgaria 	Low Credibility 	Website Only 	High Traffic 	77
ZME Science 4769 sources in total
